Quarter Seedless Watermelon ||| $0.79 / lb ||| $1.19 / lb
Bloom's Captain Cool Freeze Pops, Assorted Flavor, 20 Oz ||| $1.49 / each ||| $1.79
Kedem 100% Grape Juice Concord, 8 Oz ||| 4 for $5.00 ||| $1.49
Paskesz Starlight Mints With Real Peppermint Oil, 12 Oz ||| $2.99 ||| $3.79
Glicks Tomato Ketchup, Easy Squeeze, 64 Oz ||| $4.49 ||| $5.79
Sprinkles Nutty Cone Vanilla Flavored Ice Cream, 6 Ct, 24 Fl Oz ||| $7.99 ||| $10.99
Lieber's Sandwich Cremeos Duplex Cookies, 13 Oz ||| 2 for $5.00 ||| $3.19
Pretzilla Soft Pretzel Burger Buns, 4 Ct, 12.8 Oz ||| $5.99 ||| $7.49
Gefen Marinara Style Vodka Pasta Sauce, 26 Oz ||| 2 for $5.00 ||| $3.99
Gefen Parchment Paper 12X50, 50 Sq Ft ||| $3.49 ||| $4.59
Decorline 7 Oz Clear Heavy Plastic Cups, 100 Ct ||| $0.99 / each ||| $1.19
Ungar's Classic Gefilte Fish, 20 Oz ||| $7.99 ||| $9.49
Solomon's Beef Salami Midget ||| $6.99 ||| $8.89
Haddar Classic Garlic Dill Pickle Chips, 3 Oz ||| $0.99 ||| $1.59
Glicks Finest All Natural Non Stick Baking With Flour, 5 Oz ||| $3.49 ||| $4.39
Beleaves Caesar Dressing ||| $4.49 ||| $6.29
Simply Lev Penne Pasta ||| $0.99 ||| $1.39
Glicks Vanilla Sugar, 12 Oz ||| $2.49 ||| $3.19
Kedem Telma Kids Chunchee Chocolate Flavored Cereal Bars, 6 Pk, 0.9 Oz ||| $3.99 / each ||| $5.19
Beleaves Creamy Honey Mustard ||| $4.49 ||| $6.29
B'gan Diced Onions, 16 Oz ||| $1.99 ||| $2.75
Simply Lev Spiral Pasta ||| $0.99 ||| $1.39
Kedem Kids Animal Cookies, 12 Oz ||| $1.99 / each ||| $2.99
Glicks Unbleached All Purpose Flour, 5 Lb ||| $3.49 ||| $4.89
Lay's Salted Potato Chips, 6 Oz ||| $3.99 ||| $4.99
Schtark Shred Premium Pizza Blend, 8 OZ ||| $3.49 ||| $3.99
Beleaf French Fries Straight Cut, 26 Oz ||| $2.99 ||| $4.49
Kosherific Crunchy Fish Sticks, 25 Oz ||| $5.99 ||| $8.99
Heaven & Earth Trail Mix Honey Bars, 5 Pk ||| $5.49 ||| $6.79
Palmolive Ultra Original, 145 Oz ||| $10.99 ||| $14.99
Tuscanini Original Pitted Olives Pouch, 1 Oz ||| $0.99 / each ||| $1.49
Solomon's Beef Kielbasa, 16 Oz ||| $8.99 ||| $11.89
Decor 16Oz Insulated Paper Cups/Lids, 50 Ct ||| $8.99 ||| $12.99
Gefen Real Semi-Sweet Chocolate Chips, 10 Oz ||| 2 for $5.00 ||| $5.19
Paskesz Crik Crak Spelt Crispy Cracker Thins, 6.5 Oz ||| $2.99 ||| $3.89
Mb Kosher Crunchy Gummy Clusters Mixed Berry ||| $3.99 ||| $4.99
Natural & Kosher Sliced Muenster Cheese, 6 Oz ||| $3.99 ||| $4.99
Givat Yummy Kids Vanilla Pouch, 3.5 Oz ||| $1.29 / each ||| $1.59
Lieber's Mini Stripes Cookies, 8 Oz ||| $2.99 ||| $3.39
Natural & Kosher Crumbled Feta Cheese, 4 Oz ||| $2.99 ||| $3.89
Schmerling's Almonds & Sea Salt Swiss Milk Chocolate, 3.5 Oz ||| $3.99 ||| $4.99
7Th Heaven Hazelnut Cream Oat Milk Chocolate Confection, Dairy Free, 3.5 Oz ||| $3.99 ||| $4.99
Meal Mart Beef Franks, 40 Oz ||| $15.99 ||| $24.99
Schtark Oven Smoked Sliced Muenster Cheese, 5 Oz ||| $3.49 ||| $3.99
Givat Yummy Kids Strawberry Pouch, 3.5 Oz ||| $1.25 / each ||| $1.59
Glicks Iodized Salt, 26 Oz ||| $0.99 ||| $1.19
Beigel's Chocolate Buns ||| $4.99 ||| $8.99
Lieber's Chips Wow Chewy Chocolate Chip Cookies, 15 Oz ||| $5.99 ||| $7.29
