Yellow Potatoes, 5Lb Bag ||| $4.99 / each |||
Craize Sweet Corn Toasted Corn Crackers, 4 Oz ||| $2.99 ||| $4.49
Lieber's Tiny Dill Gherkins, 24 Oz ||| $2.99 / each ||| $3.99
Y&S Twizzlers Bits Cherry, 16 Oz ||| $3.99 ||| $6.49
Lieber's Coconut Water Passionfruit, 33.8 Oz ||| $4.49 ||| $5.49
Paskesz Marshmallow Creme, 12.3 Oz ||| $1.99 ||| $3.49
Lieber's Vanilla Supreme Almond Milk, 32 Oz ||| $2.99 ||| $3.99
Shwartz Almond Bliss Vanilla, 32 Oz ||| $2.99 ||| $3.99
Tuscanini Alfredo Sauce, 14.5 Oz ||| $7.99 ||| $9.99
Tuscanini Mac & Cheese Sauce, 14.5 Oz ||| $7.99 ||| $9.99
Tuscanini Mushroom Alfredo Sauce, 14.5 Oz ||| $7.99 ||| $9.99
Tuscanini Vodka Sauce, 14.5 Oz ||| $7.99 ||| $8.99
H&e Crunchy Corn Snack Multipack, 0.7 Oz ||| $4.99 ||| $5.99
Paskesz Pretzel Large Honey Mustard, 8 Oz ||| $2.99 ||| $3.99
Paskesz Pretzel Large Jalapeno, 8 Oz ||| $2.99 ||| $3.99
Paskesz Pretzel Large Smoky Bbq, 8 Oz ||| $2.99 ||| $3.99
Bakers Chc Choc Cake Mix, 16 Oz ||| $3.49 ||| $4.99
Bakers Choice Vanilla Cake Mix, 16 Oz ||| $3.49 ||| $4.99
Tortinkles Bbq, 90 G ||| $2.29 ||| $3.29
Tortinkles Italian Herbs, 90 G ||| $2.29 ||| $3.29
Tortinkles Salt, 90 G ||| $2.29 ||| $3.29
Flaums Egg Salad Dip, 7.5 Oz ||| $3.49 ||| $4.49
Flaums Horseradish Extra Spicy, 16 Oz ||| $3.49 ||| $4.49
Flaums Horseradish Regular, 16 Oz ||| $3.49 ||| $4.49
Flaums Horseradish Ts, 16 Oz ||| $3.49 ||| $4.49
Flaums White Fish Salad, 7.5 Oz ||| $5.99 ||| $6.99
Flaums Garden Fresh Eggplant Dip, 7.5 Oz ||| $3.49 ||| $4.99
Flaums Garden Fresh Garlic Dip, 7.5 Oz ||| $3.49 ||| $4.99
Flaums Tuna Salad, 7 Oz ||| $3.49 ||| $4.49
Flaums Garden Fresh Jalapeno Dip, 7.5 Oz ||| $3.49 ||| $4.99
Flaums Garden Fresh Olive Dip, 7.5 Oz ||| $3.49 ||| $4.99
Flaums Garden Fresh Pickle Dip, 7.5 Oz ||| $3.49 ||| $4.99
Flaums Spicy Tuna, 7 Oz ||| $3.49 ||| $4.49
Flaum Tuna Celery, 7 Oz ||| $3.49 ||| $4.49
Flaums Veggie Tuna, 7.5 Oz ||| $3.49 ||| $4.49
Old Will Pizza Dough Balls, 48 Oz ||| $7.99 ||| $8.99
Tuscanini Kalamata Olives Pitted Pouch, 1.06 Oz ||| $0.99 ||| $1.39
Paskesz Noshkes Extreme Hot, 1.05 Oz ||| 4 for $2.29 ||| $0.65
Klein's Naturals Granola Cranberry Pecan, 12 Oz ||| $4.99 ||| $5.75
Craize Coconut Toasted Corn Crisps, 4 Oz ||| $2.99 ||| $4.49
Snapple Pink Lemoade, 16 Oz ||| 3 for $5.00 ||| $1.99
Craize Guava Snack Crackers, 4 Oz ||| $2.99 ||| $4.49
Craize Jalapeno Lime Snack Crackers, 4 Oz ||| $2.99 ||| $4.49
Tuscanini Pitted Olives Garlic Flavored in Pouch, 1 Oz ||| $0.99 ||| $1.39
Tuscanini Pitted Olives Original Pouch x, 1 Oz ||| $0.99 ||| $1.39
Tuscanini Spicy Pitted Olives Pouch, 1 Oz ||| $0.99 ||| $1.39
Jonny Pops Mini Pops Unicorn Fruit Punc, 6.72 Oz ||| $5.99 ||| $7.99
Jonny Pops Unicorn Twist Pink Punch, 6.72 Oz ||| $5.99 ||| $7.99
Jonny Pops Unicorn Twist Red White Blue, 6.72 Oz ||| $5.99 ||| $7.99
Craize Everything Toasted Corn Crackers, 4 Oz ||| $2.99 ||| $4.49
Paskesz Nosh-Kes Grill Rings, 1.05 Oz ||| 4 for $2.29 ||| $0.65
Lieber's Coconut Milk -Lite, 13.5 Oz ||| $2.49 ||| $3.49
Paskesz Stack'n Snacks Candy Blocks, 5.3 Oz ||| $2.99 ||| $3.99
Dots Sour Gummies Peg Bag, 8 Oz ||| $2.99 ||| $3.49
Jolly Rancher Fruit Mango, 10 Oz ||| $3.99 ||| $5.99
Jonny Pops Organic Blue Wave Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Summer Sunrise Pop 1.85 Oz, 8 Ct ||| $5.99 ||| $7.99
Jonny Pops Cotton Candy Cloud Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Rainbow Fruit Stacks, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Tropical Paradise Punch Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
