Snapple Iced Tea, All Varieties, 12 Pack ||| $7.99 |||
Cara Cara Oranges ||| 5 for $5.00 |||
Cello Carrots, 5 Lb ||| $1.99 |||
Red Delicious Apples ||| $1.49 / lb |||
Red, Yellow & Orange Bell Peppers ||| $1.49 / lb |||
Red Seedless Grapes ||| $1.99 / lb |||
Yukon Potatoes, 5 Lb Bag ||| $4.49 |||
Cooked Salmon Slices ||| $7.49 |||
Smoked Brisket ||| $21.99 |||
Cholent Combo (Thursday & Friday Only, From the Hot Table) ||| $9.99 |||
Chicken, Simanim Platter (Tuesday 12-6pm, 1 Main Dish + 2 Sides) ||| $8.99 |||
Fish, Simanim Platter (Tuesday 12-6pm, 1 Main Dish + 2 Sides) ||| $11.99 |||
BLU Fish Market Salmon Fillet, Family Pack (Madison Location Only) ||| $10.99 / lb |||
BLU Fish Market Ahi Tuna Steaks, Family Pack (Madison Location Only) ||| $10.99 / lb |||
BLU Fish Market Tilapia, Family Pack (Madison Location Only) ||| $6.99 / lb |||
BLU Fish Market Honey Maple Marinated Salmon, Ready to Bake (Madison Location Only) ||| $13.99 / lb |||
Ossie's Tilapia, Family Pack (Seagull & Jackson) ||| $7.99 / lb |||
Ossie's Gefilte Fish (Seagull & Jackson) ||| $7.99 |||
Sushi Nation Fried Sweet Onion Roll ||| $7.45 |||
Sushi Nation Crunchy Dragon Roll ||| $15.45 |||
Sushi Nation Tuna Avocado Roll ||| $8.95 |||
Sushi Nation 6 Roll Platter ||| $51.95 |||
Steinberg's Honey Loaf Cake ||| $7.99 |||
Steinberg's Tie Dye Cookies ||| $7.99 / lb |||
Steinberg's Mini Apple Turnovers ||| $7.99 |||
Schwartz Honey Mustard Onion Dip, Pre-Packaged ||| $4.49 |||
Schwartz Horseradish Dip, Pre-Packaged ||| $3.99 |||
Schwartz Matbucha, Pre-Packaged ||| $4.79 |||
Schwartz Gefilte Fish, 2 Slices ||| $3.99 |||
Bloom's Potato Chips, All Varieties, 0.75 Oz ||| 10 for $3.00 |||
Wise Chips, Honey BBQ/Onion Rings/Original Dipsy Doodles/Kettle Jalapeno, 0.75 Oz ||| 10 for $3.00 |||
Bloom's Pretzels, 12 Oz, Large Size ||| $1.99 |||
Knack n Co Wheelies Snacks, All Varieties, 0.53 Oz ||| 2 for $1.00 |||
Shufra Two Tone Taffies, 10 Oz ||| 4 for $5.00 |||
Chewzy Skinzies, 9 Oz ||| $2.79 |||
Simcha Collection Vintage Gold-Like Flatware, All Varieties, 64 Pack ||| $6.99 |||
D'vash Kettle Chips, All Varieties, 1 Oz ||| 2 for $1.00 |||
Sensible Portions Veggie Straws, 1 Oz ||| 5 for $3.00 |||
Chewzy Whimsies, All Varieties, 11.4 Oz ||| $3.99 |||
Paskesz Cotton Candy Cups, All Varieties, 0.7 Oz ||| 10 for $8.00 |||
Simcha Collection 6 Oz Dessert Bowls, White or Clear, 100 Pack ||| $5.79 |||
Shwartz Box Drinks, Kiwi Strawberry or Fruit Punch, 4 Pack ||| 2 for $3.00 |||
Heaven & Earth Dig n Lik, All Varieties, 0.6 Oz ||| 10 for $3.00 |||
Bloomeos Sandwich Cookies, 20 Oz ||| $4.59 |||
Kedem Tea Biscuits, Except Whole Wheat or Sugar-Free, 4.2 Oz ||| 2 for $1.00 |||
Simcha Collection 7 Oz Round Clear Tumblers, 20 Pack ||| $0.99 |||
Simcha Collection 9 Oz 2 Tone Wine Glasses, 5 Pack ||| $5.49 |||
Plastic House Deli Containers, 16 Oz, 48 Pack ||| $6.49 |||
Plastic House Deli Containers, 32 Oz, 48 Pack ||| $9.49 |||
Heaven & Earth Taffy Ropes, All Varieties, 0.81 Oz ||| 3 for $0.84 |||
Shwartz Honey Wheat Pretzels, 1 Oz ||| 10 for $4.00 |||
Paskesz Noshkes or Twiggs, All Varieties, 10 Pack, Family Pack ||| $3.79 |||
Upscale Silver-Like Combo Pack Flatware, 20 Pack ||| $0.99 |||
Paskesz Whip de Do or Milk Munch Bars, 1.58-1.65 Oz ||| 3 for $4.00 |||
Zaza Sour Apple, Chewy, Extra Sour Chews, 21.6 Oz ||| $4.99 |||
Dining Collection Fancy Napkins, 20 Count ||| $2.19 |||
Simcha Collection Combo Plates, Assorted, 20-32 Pack ||| $3.49 |||
Paskesz Lollypops, Original/Rainbow/Hearts/Cotton Candy, 12 Oz ||| $2.79 |||
Simcha Collection 13 Inch Chargers with Gold Rim, Except Hammered, 4 Pack ||| $3.99 |||
Lieber's Striped Dainties Cookies, 10.2 Oz ||| 2 for $5.00 |||
Paskesz Fruzips, All Varieties, 8.5-9 Oz ||| $2.49 |||
7th Heaven Chocolate Bars, 3.5 Oz ||| $3.79 |||
Lieber's Toffee or Sour Juicy Chews, Fruit or Creamy Toffee, 12 Oz ||| $2.79 |||
Paskesz Honey Candy, 12 Oz ||| $0.99 |||
Paskesz Chips-a-Plenty Cookies, Chewy or Premium, 13 Oz ||| $5.79 |||
Cuisine Soft Clear Plates, 7 Inch, 40 Pack ||| $1.89 |||
Cuisine Soft Clear Plates, 9 Inch, 40 Pack ||| $3.29 |||
Plastico Table Covers, All 66 Inch Wide ||| $5.99 |||
Pardes Strawberries, 16 Oz ||| $4.99 |||
Gefen Whip Topping, 16 Oz ||| $1.99 |||
Meal Mart Matzah Balls, 32 Oz, Parve ||| $9.49 |||
Meal Mart Chopped Liver, Beef or Chicken, 7-12 Oz ||| $5.49 |||
Upstream Premium Tilapia Fillet, 14 Oz ||| $3.99 |||
Meal Mart Kishka, Original Only, 16 Oz ||| $3.79 |||
